funding_total_usd,funding_rounds,founded_year,status_class,funding_total_category
9520000.0,1,2013,1,1
800000.0,1,2012,0,0
25000000.0,1,2011,1,1
1477282.0,4,2012,1,1
1561337.12911738,3,2012,0,1
1895000.0,2,2012,1,1
900000.0,1,2007,2,0
124092.0,1,2012,1,0
2800000.0,2,2012,1,1
100000.0,2,2011,0,0
100000.0,1,2011,1,0
5000000.0,1,2012,2,1
1470000.0,2,2013,1,1
18478604.03736397,1,2000,2,1
7000000.0,1,2005,2,1
27541217.3218056,1,2013,1,1
18478604.03736397,1,2012,1,1
18478604.03736397,1,2015,1,1
18478604.03736397,1,2015,1,1
513186.0,1,2012,1,0
18478604.03736397,1,2012,1,1
200000.0,2,2013,1,0
18478604.03736397,1,2002,1,1
18478604.03736397,2,2013,1,1
18478604.03736397,1,2012,1,1
1200000.0,1,2012,2,1
63100000.0,4,2003,2,1
546941.0,2,2012,1,0
18478604.03736397,1,2009,1,1
800000.0,1,2014,1,0
3000000.0,1,2000,1,1
150000.0,1,2011,0,0
500000.0,1,2012,1,0
6700000.0,1,2012,1,1
8000000.0,1,2003,2,1
3100000.0,1,2008,1,1
387500.0,3,2013,1,0
18478604.03736397,1,2005,1,1
378812.0,1,2010,1,0
5000000.0,1,2006,1,1
1608361.0,4,2012,1,1
31556.0,2,2014,1,0
275000.0,3,2010,1,0
1500000.0,1,2013,1,1
100000.0,1,2000,2,0
18478604.03736397,1,1994,1,1
18478604.03736397,1,2011,1,1
15000000.0,2,2005,1,1
18478604.03736397,2,2012,1,1
50000.0,1,2008,1,0
15000.0,1,2011,0,0
16132000.0,1,2002,1,1
5000000.0,1,2011,1,1
18478604.03736397,1,1989,1,1
227049900.0,8,2006,1,2
2374240.0,1,1989,2,1
32300000.0,2,1996,2,1
18478604.03736397,1,1976,2,1
18478604.03736397,1,2013,1,1
6000000.0,1,2004,2,1
1000000000.0,1,1984,2,2
1507989.0,2,1996,1,1
2376769.0,3,2007,1,1
18478604.03736397,1,2014,1,1
400000.0,1,2005,0,0
18478604.03736397,2,2012,1,1
202413.39042429,1,2011,1,0
2197973.0,3,2002,1,1
15800000.0,2,2010,1,1
1500000.0,1,2012,1,1
1300000.0,2,2012,1,1
18478604.03736397,1,1993,1,1
27760493.0,6,2009,1,1
2400000.0,1,2008,1,1
18478604.03736397,1,2014,1,1
10000.0,1,2014,1,0
50000.0,1,2014,1,0
320000.0,1,2011,1,0
2002616.0,1,2012,2,1
20000000.0,1,2012,1,1
210000000.0,2,2000,1,2
14000000.0,1,2012,1,1
18478604.03736397,1,2010,1,1
1063779080.0,11,2006,1,2
3000000.0,1,2012,1,1
5000000.0,2,2008,1,1
5300000.0,1,2006,1,1
1600000.0,1,2013,1,1
485000.0,3,2007,1,0
1465559.0,1,2012,1,1
1000000.0,2,2013,1,0
18478604.03736397,1,2006,1,1
150000.0,1,2009,1,0
10000.0,1,2011,1,0
300000.0,1,2003,1,0
3500000.0,1,2012,1,1
18478604.03736397,1,1999,2,1
150000.0,1,2005,1,0
18478604.03736397,1,2012,1,1
42850000.0,3,2006,1,1
6550000.0,3,2012,1,1
18478604.03736397,1,2011,1,1
500000.0,1,2007,1,0
250000.0,2,2011,1,0
898000.0,1,2006,1,0
57794854.0,6,2003,2,1
310219.0,1,2014,1,0
3720000.0,4,2011,1,1
9000.0,1,2012,1,0
